title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
The Successful Teacher: An Occupational Analysis based on an enquiry conducted among women teachers in secondary schools,,6446.jpg,"dust jacket of ""The Successful Teacher: An Occupational Analysis based on an enquiry conducted among women teachers in secondary schools""",E.J. Pratt Library,Penguin Random House Archive and Library,"An inquiry conducted by the National Institute of Industrial Psychology, this study aims to uncover the personal qualities necessary in becoming a good teacher. One of the main criteria for success is a person's degree of happiness in her job, so interviews are conducted to illustrate this. The world of secondary school teaching is depicted partly through autobiographical accounts and partly through an aggregate of data.",Mary Birkinshaw,,,Education,English,,1935
A Derelict Area: A Study of South-West Durham Coalfield,,6257.jpg,"dust jacket of ""A Derelict Area""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Thomas Sharp,,,Economics,English,,1935
Land and Freedom,,6255.jpg,"dust jacket of ""Land and Freedom""",E.J. Pratt Library,Penguin Random House Archive and Library,"This is a collection of essays about the relationship between land-ownership, agriculture, political autonomy and capitalism.",Frederick Verinder,,,Economics,English,,1935
What to do with the BBC,,6347.jpg,"front cover of ""What to do with the BBC""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Raymond Postgate,,,General Criticism,English,,1935
Funeral March of a Marionette,,funeralmarch_002_front.jpg,"Vanessa Bell, dust jacket of ""Funeral March of a Marionette""",Bruce Peel Library,Henrietta Garnett,"This biography of Charlotte Stuart, Duchess of Albany, is based on newly discovered letters that were housed in the Bodleian Library. The biographer claims that the letters ""show Charlotte Stuart's contempt for the beauties and antiquities of Rome, and may interest students of character, as well as lovers of odd and unexpected aspects of life in the eighteenth century."" There is a portrait of Charlotte on the cover by Vanessa Bell.",Susan Buchan,,,Biography,English,,1935
Allegra,,allegra__002_front.jpg,"dust jacket of ""Allegra""",Bruce Peel Library,Penguin Random House Archive and Library,"A biography of Byron's illegitimate daughter by Jane Clairemont, this book tells the story of the short fve year life of the girl and of her tribulations as Byron's illegitimate daughter. Almost ridiculously sentimental and sympathetic, the biography uses Free Indirect Discourse to focalize through the baby and to attempt to recreate her sensory and emotional experience as an abandoned child. The biography contains some apparatus such as a bibliography and some replicated letters, but plays fast and loose with emotional truth and draws the descriptions of Jane Clairemont directly from Peacock's Nightmare Abbey.",Iris Origo,,,Biography,English,,1935
Beelzebub and Other Poems,,,,,,Hogarth Living Poets,R. C. Trevelyan,,,Poetry,English,,1935
Challenge to Schools: A pamphlet on Public School Education,,6400.jpg,"dust jacket of ""Challenge to Schools: A pamphlet on Public School Education""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Arthur Calder-Marshall,,,Education,English,,1935
Mr. Norris Changes Trains,,6300.jpg,"John Banting, dust jacket of ""Mr. Norris Changes Trains""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London","This is another of Isherwood's Berlin stories and was later often included alongside Goodbye to Berlin as a single volume. The story of an odd man, Mr. Norris, whose life in Berlin is dangerous since he is a communist in Hitler-era Germany.",Christopher Isherwood,,,Short Fiction,English,,1935
The Brontes: Their Lives Recorded by Their Contemporaries,,,,,,Lives Recorded By Contemporaries Series,E. M. Delafield,,,Biography,English,,1935
Aesthetics and Psychology,,,,,,Mauron's exploration of the relationship between aesthetic response and personal psychology.,Charles Mauron,,,Psychoanalysis,French,,1935
Requiem and Other Poems,,6344.jpg,"dust jacket of ""Requiem and Other Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,,Rainer Maria Rilke,,,Poetry,German,,1935
An Autobiographical Study,,6395.jpg,"dust jacket of ""An Autobiographical Study""",E.J. Pratt Library,Penguin Random House Archive and Library,Freud describes his own career and choice of a vocation.,Sigmund Freud,,,Autobiography,German,,1935
The Marchesa and Other Stories,,marchesaotherstories_002_front.jpg,"John Banting, dust jacket of ""The Marchesa and Other Stories""",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London","A collection of Short Fiction, the title story of which features farm life in the Mediterranean and begins with a description of the birth of a cow and goes on to describe the interactions between the peasants of Calabria and the Marchesa.",K. Swinstead-Smith,,,Short Fiction,English,,1936
The Idea of a World Encyclopedia,,6233.jpg,"front cover of ""The Idea of a World Encyclopedia""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,H. G. Wells,,,Politics,English,,1936
The Future of Colonies,,,,,,Day to Day Pamphlets,Leonard Barnes,,,Politics,English,,1936
The Roots of War A Pamphlet on War and the Social Order,,6279.jpg,"front cover of ""The Roots of War A Pamphlet on War and the Social Order""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Friends Anti-War Group,,,Politics,English,,1936
The Co-Operative Movement To-Day and To-Morrow,,,,,,Day to Day Pamphlets,Douglas A. Millard,,,Politics,English,,1936
Economic Policies and Peace,,,,,,Day to Day Pamphlets,Sir Arthur Salter,,,Politics,English,,1936
The League and Abyssinia,,6269.jpg,"front cover of ""The League and Abyssinia""",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,Leonard Woolf,,,Politics,English,,1936
Work for the Winter and Other Poems,,,,,,Hogarth Living Poets,Julian Bell,,,Poetry,English,,1936
Windless Sky,,6452.jpg,"John Banting, dust jacket of ""Windless Sky""",E.J. Pratt Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London","A psychological novel, reviewed by The New York Times, which describes it as an exception to what they describe as the recent trend of realist backwoods novels set in the late 19th century.",Fritz Faulkner,,,Novel,English,,1936
Lights are Bright,,6418.jpg,"Vanessa Bell, dust jacket of ""Lights are Bright""",E.J. Pratt Library,Henrietta Garnett,The second novel by the author of Change Your Sky,Anna Whyte,,,Novel,English,,1936
"Our Freedom and Its Results by Five Women, Eleanor F. Rathbone, Erna Reiss, Ray Strachey, Allison Neilans, Mary Agnes Hamilton",,6427.jpg,"Richard Kennedy, dust jacket of ""Our Freedom and Its Results by Five Women, Eleanor F. Rathbone, Erna Reiss, Ray Strachey, Allison Neilans, Mary Agnes Hamilton""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey.","A collection of essays by Eleanor F. Rathbone, Erna Reiss, Ray Strachey, Allison Neilans and Mary Agnes Hamilton about the effects of war on female emancipation in the UK.",Ray Strachey,,,Politics,English,,1936
"Adventures in Investing by ""Securitas"" (Financial Editor of Time and Tide)",,,,,,"A kind of financial advice book, this guide to investing, according to a review in The Economic Journal of 1937, promotes speculative investing in the hopes of making great gains. The review praises the book's continuation of the homespun wisdom that 'Securitas' provides in his columns, and cautions that while the optimism about financial gains might make inexperienced investors lose money, the reviewer hopes that 'he and his followers will continue to score bull's eyes.' (113).",C. Patrick Thompson,,,Economics,English,,1936
The League of Nations: the complete Story told for young people,,6441.jpg,"dust jacket of ""The League of Nations: the complete Story told for young people""",E.J. Pratt Library,Penguin Random House Archive and Library,Another of Innes's books explaining the League,Arthur Salter,,,Children's Literature,English,,1936
"Chase of the Wild Goose: The Story of Lady Eleanor Butler and Miss Sarah Ponsonby, known as the Ladies of Llangollen",,6401.jpg,"Vanessa Bell, dust jacket of ""Chase of the Wild Goose: The Story of Lady Eleanor Butler and Miss Sarah Ponsonby, known as the Ladies of Llangollen""",E.J. Pratt Library,Henrietta Garnett,"A collective biography of two women who lived together for fifty years without being separated for a single day. The author suggests that the book has been written to provide a more accurate account of their lives since 'all kinds of exaggerated or untrue stories have been in circulation regarding the reasons for, and the manner of their fight from Ireland. There still exists no biographical account of them which is not in one particular or another based on hearsay, phantasy, or empty conjecture, and the reconstruction of their very interesting story at this date demands the use of various artist's material' (11). The narrative itself is constructed from the women's fragmentary diaries. There is a good deal of interesting reflections on constructing a coherent biographical narrative from a paucity of materials, and Gordon suggests that her methodology is slightly unconventional: 'as for my last chapters, each reader with interpret them according to his own opinion of ghosts.' (13)",Robert Cecil,,,Biography,English,,1936
Noah and the Waters,,noah&waters_001_jacket.jpg,"dust jacket of ""Noah and the Waters""",Bruce Peel Library,Penguin Random House Archive and Library,Day Lewis was a figure often associated with Auden and the 1930s poets championed by John Lehmann. He was an Irish poet who came to Oxford for his undergraduate years and lived in England subsequently.,Margaret Mackworth,,,Poetry,English,,1936
Land-Value Rating Theory and Practice,,,,,,Douglas was a social activist and politician who was interested in investigating the relationship between peace and social agency. The book itself explains what land- value rating is and describes its potential for political efficacy and the promotion of peace.,F. C. R. Doulgas,,,Politics,English,,1936
"The ""Dreadnought"" Hoax",,TheDreadnoughtHoax_001.tif,"front cover of ""The 'Dreadnought' Hoax"" ",Bruce Peel Library ,Penguin Random House,"A kind of journalistic account of the Dreadnought Hoax, a prank played by members of the Bloomsbury Group on the British Navy. The pranksters dressed up as the Emperor of Abyssinia and his suite and boarded a Royal Navy ship. While this is not a very traditional autobiography, it is a kind of personal reminiscence and insists on its own factual nature. Of all of the participants in the hoax, Stephen was selected to tell the story because, he writes, 'my habit of truth-telling, which makes it all but impossible for me to tell a lie. It was tactfully put to met hat though it was true enough that others of the party might be more gifted and could make an infinitely more amusing legend than I, yet a legend their story would remain, while I, not having the imagination to invent an untruth, would be bound to stick to the facts' (15).",Adrian Stephen,,,Biography,English,,1936
The Authorship of Wuthering Heights,,,,,,"In this critical study of Bronte's literary technique, Willis rejects the theory of Branwell as the author of Wuthering Heights. The book was reprinted in 1975 and is still occasionally cited as a scholarly resource.",Irene Cooper Willis,,,Literary Criticism,English,,1936
The Unknown Murderer,,unknownmurderer_002_front.jpg,"dust jacket of ""The Unknown Murderer""",Bruce Peel Library,Penguin Random House Archive and Library,,Theodor Reik,,,Psychoanalysis,German,,1936
"Inhibitions, Symptoms and Anxiety",,inhibitionssymptomsanxiety_002_front.jpg,"dust jacket of ""Inhibitions, Symptoms and Anxiety""",Bruce Peel Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,German,,1936
Sonnets to Orpheus,,,,,,Written as a Monument for Wera Ouckama Knoop,Rainer Maria Rilke,,,Poetry,German,,1936
On Socialism,,6424.jpg,"dust jacket of ""On Socialism""",E.J. Pratt Library,Penguin Random House Archive and Library,Tolstoy's reflections about the distribution of wealth and about the disagreeable nature of excessive commercial consumption.,Leo Tolstoy,,,Politics,Russian,,1936
Envy,,6409.jpg,"dust jacket of ""Envy""",E.J. Pratt Library,Penguin Random House Archive and Library,"A novel translated from the Russian by a novelist, Short Fiction writer and dramatist who was later featured in New Writing in the spring of 1938. Envy is a critical account of Soviet life under Stalin.",Yuri Olyesha,,,Novel,Russian,,1936
Dream Analysis,,,,,,Psycho-Analytic Library,Ella Freeman Sharpe,,,Psychoanalysis,English,,1937
The Ego and Mechanisms of Defence,,,,,,Psycho-Analytic Library,Anna Freud,,,Psychoanalysis,English,,1937
"Love, Hate and Reparation",,,,,,Psycho-Analytic Library,Melanie Klein|Joan Riviere,,,Psychoanalysis,English,,1937
Diet and High Blood Pressure,,diethighbloodpressure_002_front.jpg,"dust jacket of ""Diet and High Blood Pressure""",Bruce Peel Library,Penguin Random House Archive and Library,"An informative book designed for public education about the risks of overeating. The book suggests that a surfeit of food is becoming more of a public health risk than a lack of food, and provides charts describing ideal weight to height ratios for lowering the risk of high blood pressure and resultant cardiovascular illness.",Dr. I. Harris,,,Medicine,English,,1937
A Childhood,,6392.jpg,"Enid Marx, dust jacket of ""A Childhood""",E.J. Pratt Library,Penguin Random House Archive and Library,"This book is a good example of one that skates the fine line between biography and autobiography. It appears in the 1939 Catalogue under 'Biography, Memoirs, etc.' which of course combines the two categories. The dust jacket declares that the book 'is not altogether easy to classify. It is either biographical fiction or fictional biography,' and Allinson's introduction states that 'Unavoidably, Charlotte is more like myself than anyone else: yet if she strikes you as odd, have patience with her, for may of her contemporaries felt and acted very much as she did.' Each chapter begins with a woodcut by Enid Marx, who also designed the cover.",Francesca Allinson,,,Biography,English,,1937
The Amberley Papers,,,,,,"Lady Amberley was a prominent suffragette and women's rights activist in the late 19th century and the beginning of the 20th. These letters and diaries are collected and edited by the Russells, and the book provides an interesting documentation of collaborative work by married couples.",Vicountess Katharine Louisa Amberley|John Russell,,,Biography,English,,1937
Socrates,,,,,,World-Makers and World-Shakers Series,Naomi Michison|R. H. S. Crossman,,,Children's Literature,English,,1937
Smoky Crusade,,,,,,,R. M. Fox,,,Autobiography,English,,1937
Sally Bowles,,sallybowles_002_front.jpg,"dust jacket of ""Sally Bowles""",Bruce Peel Library,Penguin Random House Archive and Library,"A publication that preceded Goodbye to Berlin, this pamphlet consists of the one story, a character sketch of Isherwood's enigmatic friend from Berlin. The story went on to become the opening section of Goodbye to Berlin, and there were contract disputes with the Press over the repetition of the story in the later collection. These are well documented in the Reading archival material.",Christopher Isherwood,,,Novel,English,,1937
Joan of Arc,,,,,,World-Makers and World-Shakers Series,Vita Sackville-West,,,Biography,English,,1937
The Military Training of Youth and the Effects of the O. T. C.,,6346.jpg,"front cover of ""The Military Training of Youth and the Effects of the O.T.C.",E.J. Pratt Library,Penguin Random House Archive and Library,Day to Day Pamphlets,L. B. Pekin,,,Education,English,,1937
Can I Help You?,,6399.jpg,"Virginia Parsons, dust jacket of ""Can I Help You?""",E.J. Pratt Library,Penguin Random House Archive and Library,"An etiquette book 'for all classes,' this is a guide to many aspects of social life, from hosting dinner parties to ending love affairs. Its subtitle, 'Your Manners ' Menus ' Amusements ' Friends ' Make-Ups ' Travel ' Calling ' Children ' Love Affairs' indicates the wide variety of subjects about which Tree offers advice and opinionated commentary. The only book of its kind to be published by the Press, this volume was one of only two books to be categorized under the miscellaneous 'General' category in the 1939 Catalogue of the Press. Viola Tree was the advice columnist for the Sunday Dispatch and based her selection of topics on the kinds of questions she received in her work. The book was illustrated by her daughter, Virginia Parsons.",Viola Tree,,,Etiquette,English,,1937
Ladies and Gentlemen in Victorian Fiction,,,,,,"Delafeld was a pseudonym for Edmee Elizabeth Monica De la Pasture, who was best known for her autobiography, Diary of a Provincial Lady, which had several sequels and were great successes. This book her foray into literary criticism, though most of her books were popular and autobiographical.",E. M. Delafield,,,Literary Criticism,English,,1937
"Mazzini, Garibaldi & Cavour",,mazzinigarabaldi_002_front.jpg,"John Banting, dust jacket of ""Mazzini, Garibaldi & Cavour""",Bruce Peel Library,"Copyright Enquiries Rights & Images, National Portrait Gallery London",World-Makers and World-Shakers Series,Marjorie Strachey,,,Biography,English,,1937
Darwin,,,,,,World-Makers and World-Shakers Series,L. B. Pekin,,,Biography,English,,1937
Pepita,,6428.jpg,"dust jacket of ""Pepita""",E.J. Pratt Library,Penguin Random House Archive and Library,World-Makers and World-Shakers Series,Vita Sackville-West,,,Biography,English,,1937
Poems,,,,,,Hogarth Living Poets,Christopher Lee,,,Poetry,English,,1937
The Years,,years_002_front.jpg,"Vanessa Bell, dust jacket of ""The Years""",Bruce Peel Library,Henrietta Garnett,,Virginia Woolf,,,Novel,English,,1937
A General Selection from the Works of Sigmund Freud,,6393.jpg,"dust jacket of ""A General Selection from the Works of Sigmund Freud""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,German,,1937
The Price of Liberty,,,,,,Day to Day Pamphlets,Adolf Lowe,,,Politics,German,,1937
Poems,,poemsbyallot_002_front.jpg,"dust jacket of ""Poems""",Bruce Peel Library,Penguin Random House Archive and Library,"Lauded as one of the most promising poets of the 1930s, Allott was a Matthew Arnold scholar as well as a poet and grew up in Newcastle. His Collected Poems have remained in print and he has been praised by Seamus Heaney among others.",Kenneth Allott,,,Poetry,English,,1938
The Bankers of London,,,,,,"This book aims to explain the financial powers of the British Empire to the general public. It covers such topics as the structure and purpose of the Bank of England, the relationship between insurance companies and banks, and the people who run the bank. A great proportion of the book is devoted to lists of names of those who manage and direct banks.",Percy Arnold,,,General Criticism,English,,1938
Julian Bell,,julianbell_002_front.jpg,"dust jacket of ""Julian Bell""",Bruce Peel Library,Penguin Random House Archive and Library,"A commemorative volume containing some of Bell's own writings alongside reminiscences by J. M. Keynes, David Garnett, Charles Mauron, C. Day Lewis and E. M. Forster. Bell was killed in 1937 while serving as an ambulance driver in Spain.",,Quentin Bell,,Biography,English,,1938
The Refugees,,refugees_002_front.jpg,"dust jacket of ""The Refugees""",Bruce Peel Library,Penguin Random House Archive and Library,"A first novel by a new writer, The Refugees is the fictional story of a group of social democrats, communists and Jews who fee Germany when Hitler comes to power. A lukewarm advertisement on the book's own dust jacket suggests that it is a ""strange"" novel which ""shows signs of immaturity"" and the cover design (a proliferation of swastikas) seems likely to lessen its appeal for later audiences.",Libby Benedict,,,Novel,English,,1938
The Machinery of Socialist Planning,,,,,,"A planning document written for the New Fabian Society and published by the Hogarth Press in association with that organization, this book describes the nature of a socialist economy and proposes mechanisms by which such a state could function should socialism come to power. Many of the suggestions made in the volume address concerns expressed about the nature of the Russian government and attempt to offer possible solutions to the problems encountered by that regime.",G. D. H. Cole,,,Politics,English,,1938
Books and People,,,,,,"A collection of essays on the state of book buying, publishing and selling in England. This was initially a series in The Nation and included contributions by John Maynard Keynes, Stanley Unwin, Michael Sadlier, Basil Blackwell, Leonard Woolf, Peter Ibbetson, Henry B. Saxton, Charles Young and Jeffery E. Jeffery.",Margaret Cole,,,Literary Criticism,English,,1938
The Political and Social Doctrine of Communism,,ThePoliticalAndSocialDoctrineOfCommunism_001.tif,"front cover of ""The Political and Social Doctrine of Communism"" ",Bruce Peel Library,Penguin Random House Archive and Library,Day to Day Pamphlets,R. Palme Dutt,,,Politics,English,,1938
Lions and Shadows,,lionsshadow_002_front.jpg,"dust jacket of ""Lions and Shadows""",Bruce Peel Library,Penguin Random House Archive and Library,"Described as ""part autobiography, part fiction,"" Isherwood's book describes his young life in the 1920s. It is titled after his unpublished first novel, and its main purpose, according to the author's preface, is to describe Isherwood's education, rather than to reveal sallacious personal details, though he suggests that in order to be of interest to the reader, he had to dress things up in the clothes of fiction. Like many such prefaces, Isherwood's must be taken with a grain of salt, and his advice to ""read it as a novel"" is clearly a difficult directive to follow in the face of what reads like a fairly conventional autobiography with an insistently vivid first-person voice.",Christopher Isherwood,,,Novel,English,,1938
Clinical Aspects of Psychoanalysis,,,,,,Psycho-Analytic Library,Rene Laforgue,,,Psychoanalysis,English,,1938
New Writing: New Series 1 (Autumn 1938),,,,,,"New Writing, edited by John Lehmann, was a series of anthologies of short fiction and extracts of longer works. The anthologies were intended to promote the best new fiction of the season and often to promote other Hogarth Press authors.",,John Lehmann,,Anthology,English,,1938
The Writings of E. M. Forster,,TheWritingsOfEMForster_001.tif,"front of ""The Writings of E. M. Forster"" ",Bruce Peel Library ,Penguin Random House Archive and Library,"The first full-length study of Forster's works, this book also provides a useful example of an approach combining literary criticism and biographical writing. There is a specific chapter dedicated to Forster's life, and the overriding argument of the book that ""writers, like other people, are rooted in time and place"" gives rise to a highly contextual and frequently biographical reading of Forster's writings.",Rose Macaulay,,,Literary Criticism,English,,1938
Mile End,,,,,,"This is a novel written in a highly melodramatic style about Jewish life in the East End of London, where Nott worked as a social worker for many years.",Kathleen Nott,,,Novel,English,,1938
Tribune of Rome: A Biography of Cola di Rienzo,,,,,,"A biography of the medieval Italian politician and popular leader, Cola di Rienzo, who claimed to be the son of the Holy Roman Emperor but was actually the child of a washerwoman and a tavern-keeper in Rome. He inspired some famous poetry, including one of Petrarch's Odes and some poetry by Byron, whose life and work was Origo's own interests.",Iris Origo,,,Biography,English,,1938
Later Poems,,,,,,,Rainer Maria Rilke,,,Poetry,English,,1938
Solitude: A Poem,,solitude__002_front.jpg,"dust jacket of ""Solitude""",Bruce Peel Library,Penguin Random House Archive and Library,A very good seller for the Press.,Vita Sackville-West,,,Poetry,English,,1938
Journey to the Border,,journeyborder_002_front.jpg,"dust jacket of ""Journey to the Border""",Bruce Peel Library,Penguin Random House Archive and Library,Upward's novel was his first. Upward was a friend of Christopher Isherwood. Journey to the Border describes a struggle between a private tutor and his employer and culminates in the protagonist's decision to join the worker's movement. The narrative reflects Upward's own socialist politics. Upward went on to write a successful autobiographical trilogy describing life in the thirties. He lived to be the oldest writer in the UK until he died at the age of 105.,Edward Upward,,,Novel,English,,1938
Three Guineas,,ThreeGuineas_001.tif,"Vanessa Bell, front of ""Three Guineas"" ",Bruce Peel Library,Henrietta Garnett,"Woolf's pamphlet set out to answer three questions from three different activist societies. The pamphlet therefore explores the possibilities of achieving peace and preventing war, ascertaining professional rights for women, and improving the standards of women's education. Formally, Three Guineas takes on the structure of Woolf's responses to letters, and the epistolary format has received a fair amount of critical attention.",Virginia Woolf,,,General Criticism,English,,1938
Education To-Day and To-Morrow,,,,,,Day to Day Pamphlets,W. H. Auden|T. C. Worsley,,,Education,English,,1939
The Artist and His Public,,,,,,Hogarth Sixpenny Pamphlets,Graham Bell,,,Art and Art Criticism,English,,1939
Antiquarian Prejudice,,AntiquarianPrejudice_001.tif,"front cover of ""Antiquarian Prejudice"" ",Bruce Peel Library,Penguin Random House Archive and Library,Hogarth Sixpenny Pamphlets,John Betjeman,,,General Criticism,English,,1939
Amber Innocent,,,,,,A later book by the teenaged poet who was featured in the Living Poets series by the Press. A recent article by Mark Hussey describes Easdale's work in detail and re-evaluates the previous critical assumption that Virginia Woolf was uninterested in her prot'g' and explains that Woolf found great promise in the young writer.,Joan Adeney Easdale,,,Poetry,English,,1939
What I Believe,,,,,,A stand-alone pamphlet drawn from Two Cheers for Democracy,E. M. Forster,,,General Criticism,English,,1939
"Civilization, War, and Death",,,,,,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,English,,1939
Moses and Monotheism,,,,,,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,English,,1939
A History of Socialism,,,,,,"A general history designed to provide a broad overview of socialism. The idea is to contextualize more specific pamphlets and books on the Russian Revolution, the Paris Commune or the Chartist movement in a broader narrative that takes a more up-to-date stance than the party documents that had existed up to this point to provide this information.",Sally Graves,,,Politics,English,,1939
Party Going,,,,,,"Henry Green was the pseudonym of Henry Yorke, who was an aristocratic Englishman who decided to quit his Oxford degree and work in his father's factory. He wrote several novels about life in all different classes his books have an odd and experimental style.",Henry Green,,,Novel,English,,1939
The Man Below,,,,,,"Hopkinson's first novel, The Man Below, deals with a protagonist, Sinbad, who is a student who is sheltered from life by his studies. The book ends with a sad little boat getting caught in a storm near the Isle of Mann. Hopkinson was better known as a journalist.",H. T. Hopkinson,,,Novel,English,,1939
Goodbye to Berlin,,goodbyeberlin_001_jacket.jpg,"Humphrey Spender, dust jacket of ""Goodbye to Berlin""",Bruce Peel Library,Rachel Spender; Getty Images,"Isherwood's well known collection of autobiographical stories about his time in Berlin. Of great relevance to the question of how to locate the division between truth and fiction, Isherwood portrays his real acquaintances and describes the landscape of Germany in the few years preceding WWII, but uses fictionalized names and exaggerates circumstances. The book was sold as fiction, despite the fact that Isherwood's narrator takes his own name.",Christopher Isherwood,,,Short Fiction,English,,1939
New Writing: New Series 2 (Spring 1939),,,,,,,,John Lehmann,,Anthology,English,,1939
New Writing: New Series 3 (Christmas 1939),,,,,,,,John Lehmann,,Anthology,English,,1939
Poets of Tomorrow,,,,,,,,John Lehmann,,Anthology,English,,1939
Superstition and Society,,,,,,Psycho-Analytic Library,Roger Money-Kyrle,,,Psychoanalysis,English,,1939
Coeducation in its Historical and Theoretical Setting,,coeducation_002_front.jpg,"dust jacket of ""Coeducation in its Historical and Theoretical Setting""",Bruce Peel Library,Penguin Random House Archive and Library,This book 'follows the educational theory of coeducation from Plato to the present day and traces the roots of modern coeducation in women's emancipation and the New School movement' (dust jacket).,L. B. Pekin,,,Education,English,,1939
Duino Elegies,,duinoelegies_002_front.jpg,"dust jacket of ""Duino Elegies""",Bruce Peel Library,Penguin Random House Archive and Library,,Rainer Maria Rilke,,,Poetry,English,,1939
The German Army,,,,,,"A history of the German Army from the time of Frederick the Great to the Nazi regime. The aim of the book is to educate the English public about the military structure of Germany, and Herbert Rosinski was a refugee from Germany living in England.",Herbert Rosinski,,,General Criticism,English,,1939
The New Realism: A Discussion,,TheNewRealism_001.tif,"front cover of ""The New Realism: A Discussion"" ",Bruce Peel Library ,Penguin Random House Archive and Library,Hogarth Sixpenny Pamphlets,Stephen Spender,,,Literary Criticism,English,,1939
Poems for Spain,,PoemsForSpain_001.tif,"cover of ""Poems for Spain"" ",Bruce Peel Library ,Penguin Random House Archive and Library,"Poems written and translated by English writers about the Spanish Civil War. Auden is among them and the poems are generally of a high quality. The justification for the book is that 'Poets and poetry have played a considerable part in the Spanish War, because to many people the struggle of the Republicans has seemed a struggle for the conditions without which the writing and reading poetry are almost impossible in modern society' (7).",,John Lehmann|Stephen Spender,,Poetry,English,,1939
After the Deluge: A Study in Communal Psychology (Vol 2) 1830 and 1832,,,,,,Meant to be a major work of scientific history.,Leonard Woolf,,,Politics,English,,1939
The Hotel: A Play in Three Acts,,hotel_002_front.jpg,"dust jacket of ""The Hotel: A Play in Three Acts""",Bruce Peel Library,Penguin Random House Archive and Library,"Leonard writes in his autobiography of this play: 'In 1938 I wrote a play, The Hotel, about the horrors of the twilight age of Europe, the kind of hush that fell upon us before the final catastrophe. . . . It was written in the tension of those horrible years of Hitler's domination and of the feeling that he would inevitably destroy civilization (Downhill All The Way).",Leonard Woolf,,,Drama,English,,1939
Reviewing,,Reviewing_001.tif,"front cover of ""Reviewing"" ",Bruce Peel Library,Penguin Random House Archive and Library,Hogarth Sixpenny Pamphlets,Virginia Woolf,,,Literary Criticism,English,,1939
Twilight in Dehli,,,,,,"The first novel by an Pakistani writer and activist who was also featured in New Writing by the Press, and whose work was praised by E. M. Forster. Concerned with the shift from traditional Muslim aristocratic rule to British Colonialism, the novel follows a high-class family in Delhi through social and political changes under colonial rule. The novel won international acclaim and is now considered an anti-colonial classic.",Ali Ahmed,,,Novel,English,,1940
Selected Poems,,,,,,,Cecil Day-Lewis,,,Poetry,English,,1940
England's Pleasant Land: A Pageant Play,,pleasantland_002_front.jpg,"dust jacket of ""England's Pleasant Land: A Pageant Play""",Bruce Peel Library,Penguin Random House Archive and Library,"By 1940, Forster had ceased to write novels, and his pageant play concerned with the definition of a traditional kind of Englishness marked by all the clich'd symbols of nationhood, including the pageant play form, itself. The play has received some recent critical attention in an article by Joshua Esty in ELH. Esty places Forster's play alongside other modernist refashionings of this nostalgic genre.",E. M. Forster,,,Drama,English,,1940
Control of Aliens in the British Commonwealth of Nations,,,,,,"A book for the education of the English public on immigration policies and the status of aliens in the country. Fraser compares English practices to legislation elsewhere (Australia, North America, and Europe) and includes appendices of the various acts of legislation concerned with alien status.",C. F. Fraser,,,Politics,English,,1940
Pack My Bag: A Self-Portrait,,,,,,"Green (a pseudonym for Henry Yorke)'s exquisitely beautiful autobiography was written with a presentiment of his own death in WWII. He writes of his boyhood and his education at Eton and Oxford, and about his decision to become a factory manager after leaving Oxford mid-degree. He uses no personal names in the book and elucidates his elliptical style of living, which is reflected in the difficult and spare style of his novels.",Henry Green,,,Autobiography,English,,1940
Folios of New Writing (Spring 1940),,,,,,New Writing,,John Lehmann,,Anthology,English,,1940
Folios of New Writing (Autumn 1940),,,,,,New Writing,,John Lehmann,,Anthology,English,,1940
Poets of Tomorrow,,,,,,New Writing,,John Lehmann,,Anthology,English,,1940
Selected Poems,,,,,,New Hogarth Library,William Plomer,,,Poetry,English,,1940
Country Notes in Wartime,,,,,,Sackville-West's notes and photographs are autobiographical accounts of the effect of bombings on an otherwise idyllic pastoral landscape. Her humorous and personable style made the books very popular.,Vita Sackville-West,,,Diary,English,,1940
The Backward Son,,,,,,The backward son begins with a delightful account of a boy sliding down a banister. It is a novel about childhood and the process of growing up and was Spender's first.,Stephen Spender,,,Novel,English,,1940
